id,symbol,name,price_usd,market_cap_usd,volume_24h_usd,price_change_pct_24h
bitcoin,btc,Bitcoin,83963.0,1686366161262,43743622781.0,-3.33138
ethereum,eth,Ethereum,2675.01,326511983524,17473978115.0,-3.74156
tether,usdt,Tether,0.999806,183511036398,80639133394.0,0.00292
binancecoin,bnb,BNB,768.75,102357634159,1295017602.0,-3.50801
ripple,xrp,XRP,1.49,93940918301,5945939554.0,-7.6856
usd-coin,usdc,USDC,0.999853,75367675628,21444929605.0,0.00176
solana,sol,Solana,114.74,67411691230,5175637511.0,-3.92092
tron,trx,TRON,0.34377,32642914683,476589403.0,-0.21322
zcash,zec,Zcash,1498.97,25410179896,1840358869.0,-7.28972
figure-heloc,figr_heloc,Figure Heloc,1.035,23843398782,29860113.0,0.36808
hyperliquid,hype,Hyperliquid,92.12,20502518911,1115317270.0,-5.10984
dogecoin,doge,Dogecoin,0.093355,14564794635,1808788473.0,-9.93786
monero,xmr,Monero,553.64,10415660948,141108735.0,-2.94006
whitebit,wbt,WhiteBIT Coin,84.38,10026312471,134229510.0,-3.43151
usds,usds,USDS,0.999991,9648325207,150348639.0,0.02
chainlink,link,Chainlink,12.29,9193430795,604825379.0,-6.89499
cardano,ada,Cardano,0.23846,8948845800,732724114.0,-7.51454
rain,rain,Rain,0.01219329,8647475588,15786629.0,-7.47423
leo-token,leo,LEO Token,8.99,8265212647,247211.0,0.05838
stellar,xlm,Stellar,0.201026,7021047240,391735157.0,-9.05286
bitcoin-cash,bch,Bitcoin Cash,339.68,6832915692,1167420102.0,-0.19887
uniswap,uni,Uniswap,9.28,5763932033,1510679561.0,-13.83831
near,near,NEAR Protocol,4.33,5661254508,2589138580.0,-2.15858
litecoin,ltc,Litecoin,66.89,5189049797,811894526.0,5.04237
ethena-usde,usde,Ethena USDe,0.999603,4888723602,70623993.0,-0.00859
dai,dai,Dai,0.999791,4596377367,173873998.0,0.00865
avalanche-2,avax,Avalanche,10.22,4526122303,643669221.0,-9.89567
usd1-wlfi,usd1,USD1,0.999399,4405983274,1255776978.0,-0.00104
canton-network,cc,Canton,0.109219,4332631561,19954268.0,-5.41669
the-open-network,gram,Gram (prev. Toncoin),1.42,3982751624,54763891.0,-3.7706
hedera-hashgraph,hbar,Hedera,0.090659,3973174475,161011296.0,-10.30727
sui,sui,Sui,0.961508,3938949051,1008599050.0,-6.82199
shiba-inu,shib,Shiba Inu,5.68e-06,3348368068,147010997.0,-8.40507
global-dollar,usdg,Global Dollar,0.99991,3254469650,861150356.0,-0.00513
bittensor,tao,Bittensor,285.84,3239117928,352810536.0,-9.85715
crypto-com-chain,cro,Cronos,0.061947,3087389812,15004781.0,-9.99143
bitway,btw,Bitway,1.074,2910834434,28802009.0,18.42837
memecore,m,MemeCore,1.23,2813373816,1202991.0,-5.22
paypal-usd,pyusd,PayPal USD,0.99999,2710827190,64431972.0,0.00996
tether-gold,xaut,Tether Gold,4284.84,2668981414,203888634.0,-1.29715
okb,okb,OKB,119.31,2506326226,44430390.0,-4.0778
hashnote-usyc,usyc,Circle USYC,1.14,2432731226,0.0,0.0096
ripple-usd,rlusd,Ripple USD,1.0,2367008612,347976303.0,-0.00693
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2290219820,0.0,0.0
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.15,2271395877,6193916.0,0.00194
mantle,mnt,Mantle,0.66091,2182282493,54065821.0,-4.09305
aave,aave,Aave,138.13,2130087424,374563590.0,-9.45588
ethena,ena,Ethena,0.205173,2071828843,424632076.0,-6.37607
ondo-finance,ondo,Ondo,0.416881,2026564345,249185915.0,-6.66865
aster-2,aster,Aster,0.702076,1902602875,152417670.0,-5.0402
